,"NDF","ADF","DM","ASH","N","FAT","Energy","CP"
"50B",517.4222,223.7925,941.5761,123.6413,24.9,74.81844,18.1,155.625
"47B",497.2666,277.4604,931.5119,119.4388,24.38,78.27386,18.58,152.375
"46B",510.0452,241.3004,962.8895,135.9397,24.57,83.9416,18.35,153.5625
"56B",474.9833,261.6926,938.8185,129.0756,22.7,69.04348,17.8,141.875
"52B",524.3014,233.4136,932.617,115.6438,25.33,79.34337,18.3,158.3125
"51B",517.0892,257.4845,931.8909,116.2747,23,80.45977,18.21,143.75
"45B",540.3356,207.7061,933.2043,120.4259,23.1,68.37313,18.01,144.375
"37B",513.2443,261.3364,962.8632,131.422,23.96,70.62544,18.16,149.75
"35B",543.9294,347.9846,939.3939,128.2713,23.15,81.29668,18.37,144.6875
"34B",497.5066,311.9666,962.4127,155.3607,25.18,80.90118,17.98,157.375
"42B",480.5844,201.3289,943.1116,149.9455,24.49,78.66168,18.08,153.0625
"41B",500.9571,199.3932,959.9611,140.5248,25.86,81.86929,18.29,161.625
"38B",479.6223,281.4393,939.0995,132.8227,26.26,75.13135,18.38,164.125
"77B",502.5002,264.0595,932.2344,120.4721,22.38,72.60155,17.94,139.875
"76B",493.344,249.8308,954.5701,130.6787,25.88,65.49435,18.25,161.75
"75B",515.2629,250.7856,937.3467,121.1549,24.23,73.23659,18.13,151.4375
"84B",524.7454,230.3218,958.7004,125.7342,24.79,61.4601,18.15,154.9375
"82B",466.3306,265.7601,961.0364,125,25.87,61.45351,18.21,161.6875
"79B",516.283,209.232,932.0912,131.6385,22.5,57.66151,17.91,140.625
"73B",527.8633,292.2581,962.0276,126.6352,21.58,77.37991,18.27,134.875
"67B",548.0665,299.8113,938.6862,108.9416,22.68,59.70653,18.2,141.75
"61B",484.0912,175.5983,954.175,139.2864,26.09,86.28054,18.25,163.0625
"57B",511.7625,259.9534,939.2541,108.7518,23.58,77.14726,18.34,147.375
"71B",514.3747,219.2772,954.8858,133.2834,23.45,77.63976,18.09,146.5625
"69B",475.7117,264.9136,956.6686,144.3053,26.52,77.22944,18.22,165.75
"68B",561.4335,278.5533,939.0439,101.8305,22.09,59.35374,18.29,138.0625
"29B",531.5173,190.9474,939.0604,125.8109,25.76,67.4492,18.15,161
"14B",524.9971,256.3468,927.2078,123.1044,25.83,87.5045,17.99,161.4375
